HISTORY_RCRD_ID,LAYER_RCRD_ID,HISTORY_ID,SILV_BASE_CD,START_YEAR,END_YEAR,LAYER_PCT 
191169,146,1,,,,
191179,147,1,,,,
191237,148,1,,,,
191244,149,1,,,,
197566,801,1,,,,
197567,802,1,,,,
197568,803,1,"DI",,,
197576,804,1,,,,
197577,805,1,,,,
197582,806,1,,,,
197598,807,1,,,,
197601,808,1,"DI",,,
197602,810,1,,,,
197608,811,1,,,,
197707,835,1,,,,
197709,836,1,,,,
197713,837,1,,,,
197716,838,1,,,,
197717,839,1,,,,
197725,840,1,,,,
197727,841,1,,,,
197731,842,1,,,,
197737,843,1,"DI",,,
197744,844,1,,,,
198035,916,1,,,,
198036,917,1,,,,
198037,918,1,,,,
198044,919,1,,,,
198046,920,1,,,,
198047,921,1,,,,
198054,922,1,,,,
198060,923,1,,,,
198062,924,1,,,,
198065,925,1,,,,
198068,926,1,,,,
198072,927,1,,,,
198075,928,1,,,,
198076,929,1,,,,
191357,150,1,,,,
196905,151,1,,,,
196906,152,1,,,,
196907,153,1,,,,
196908,154,1,,,,
196909,155,1,,,,
196910,156,1,,,,
196911,157,1,,,,
196912,158,1,,,,
196913,159,1,,,,
196914,160,1,,,,
196915,161,1,,,,
196916,162,1,,,,
196917,163,1,,,,
196918,165,1,,,,
196919,166,1,,,,
196920,168,1,,,,
196921,169,1,,,,
196922,170,1,,,,
196923,171,1,,,,
196924,172,1,,,,
196925,173,1,,,,
196926,174,1,,,,
196927,175,1,,,,
196928,176,1,,,,
196929,177,1,,,,
196930,178,1,,,,
196931,179,1,,,,
196932,180,1,,,,
196933,181,1,,,,
196934,182,1,,,,
196935,184,1,,,,
196936,185,1,,,,
196937,186,1,,,,
196938,187,1,,,,
196939,190,1,,,,
196940,191,1,,,,
196941,192,1,,,,
196942,193,1,,,,
196943,194,1,,,,
196944,195,1,,,,
196945,196,1,,,,
196946,197,1,,,,
196947,198,1,,,,
196948,199,1,,,,
196949,200,1,,,,
196950,201,1,,,,
196951,202,1,,,,
196952,203,1,,,,
196953,204,1,,,,
196954,205,1,,,,
196955,206,1,,,,
196956,207,1,,,,
196957,208,1,,,,
196958,209,1,,,,
196959,210,1,,,,
196960,212,1,,,,
196961,213,1,,,,
196962,214,1,,,,
196963,215,1,,,,
196964,217,1,,,,
196965,218,1,,,,
196966,220,1,,,,
196967,221,1,,,,
196968,222,1,,,,
196969,223,1,,,,
196970,224,1,,,,
196972,226,1,,,,
196973,227,1,,,,
196974,228,1,,,,
196975,229,1,,,,
196976,230,1,,,,
196977,231,1,,,,
196978,232,1,,,,
196979,233,1,,,,
196980,234,1,,,,
196981,235,1,,,,
196982,236,1,,,,
196983,237,1,,,,
196984,238,1,,,,
196985,239,1,,,,
196986,240,1,,,,
196987,241,1,,,,
196988,242,1,,,,
196989,243,1,,,,
196990,244,1,,,,
196991,245,1,,,,
196992,246,1,,,,
196993,247,1,,,,
196994,248,1,,,,
196995,249,1,,,,
196997,250,1,,,,
196998,251,1,,,,
196999,252,1,,,,
197000,254,1,,,,
197001,255,1,,,,
197002,256,1,,,,
197003,257,1,,,,
197004,258,1,,,,
197005,259,1,,,,
197006,261,1,,,,
197007,262,1,,,,
197008,263,1,,,,
197009,265,1,,,,
197010,266,1,,,,
197011,267,1,,,,
197012,268,1,,,,
197013,269,1,,,,
197014,270,1,,,,
197015,271,1,,,,
197016,273,1,,,,
197017,275,1,,,,
197018,276,1,,,,
197019,277,1,,,,
197020,278,1,,,,
197021,279,1,,,,
197022,280,1,,,,
197023,281,1,,,,
197024,282,1,,,,
197025,284,1,,,,
197026,285,1,,,,
197027,286,1,,,,
197029,287,1,,,,
197030,288,1,,,,
197031,289,1,,,,
197032,291,1,,,,
197033,292,1,,,,
197034,293,1,,,,
197035,295,1,,,,
197036,296,1,,,,
197037,297,1,,,,
197038,298,1,,,,
197039,300,1,,,,
197040,301,1,,,,
197042,302,1,,,,
197043,303,1,,,,
197044,304,1,,,,
197045,305,1,,,,
197046,306,1,,,,
197047,307,1,,,,
197049,308,1,,,,
197050,309,1,,,,
197051,310,1,,,,
197052,311,1,,,,
197053,312,1,,,,
197054,313,1,,,,
197055,314,1,,,,
197056,315,1,,,,
197057,316,1,,,,
197058,317,1,,,,
197060,318,1,,,,
197061,319,1,,,,
197062,321,1,,,,
197063,322,1,,,,
197064,323,1,,,,
197065,324,1,,,,
197066,325,1,,,,
197067,326,1,,,,
197068,327,1,,,,
197069,328,1,,,,
197070,329,1,,,,
197071,330,1,,,,
197072,331,1,,,,
197073,332,1,,,,
197074,333,1,,,,
197075,334,1,,,,
