POLYGON_RCRD_ID,MAINTAINER,MAP_ID,MAP_QUAD,MAP_SUB_QUAD,POLYGON_ID 
188943,"001","092I072","0","0",988345
188944,"001","092I072","0","0",766317
188975,"001","092I072","0","0",963367
188990,"001","092I072","0","0",605311
188995,"001","092I072","0","0",974313
189006,"001","092I072","0","0",611325
189025,"001","092I072","0","0",897293
189029,"001","092I072","0","0",16373
189032,"001","092I072","0","0",696337
189049,"001","092I072","0","0",756323
189070,"001","092I072","0","0",749335
189071,"001","092I072","0","0",809308
189095,"001","092I072","0","0",722351
189098,"001","092I072","0","0",750354
189100,"001","092I072","0","0",788349
189111,"001","092I072","0","0",997362
189113,"001","092I072","0","0",989355
189130,"001","092I072","0","0",841362
189134,"001","092I072","0","0",26338
189143,"001","092I072","0","0",845291
189149,"001","092I072","0","0",629336
189153,"001","092I072","0","0",635332
189154,"001","092I072","0","0",32363
189155,"001","092I072","0","0",6289
189166,"001","092I072","0","0",769348
189185,"001","092I072","0","0",41366
189188,"001","092I072","0","0",959347
189190,"001","092I072","0","0",887310
189206,"001","092I072","0","0",709332
189213,"001","092I072","0","0",710348
189214,"001","092I072","0","0",917310
189222,"001","092I072","0","0",782357
189251,"001","092I072","0","0",775319
189253,"001","092I072","0","0",836322
189273,"001","092I072","0","0",615332
189275,"001","092I072","0","0",8314
189288,"001","092I072","0","0",828326
189289,"001","092I072","0","0",38352
189295,"001","092I072","0","0",707297
189298,"001","092I072","0","0",677326
189313,"001","092I072","0","0",701309
189319,"001","092I072","0","0",589321
189324,"001","092I072","0","0",976329
189328,"001","092I072","0","0",935351
189329,"001","092I072","0","0",919326
189334,"001","092I072","0","0",864307
189342,"001","092I072","0","0",719340
189343,"001","092I072","0","0",841341
189348,"001","092I072","0","0",942327
189350,"001","092I072","0","0",928327
189352,"001","092I072","0","0",992307
189358,"001","092I072","0","0",978341
189371,"001","092I072","0","0",749343
189391,"001","092I072","0","0",954331
189392,"001","092I072","0","0",44358
189412,"001","092I072","0","0",731318
189413,"001","092I072","0","0",883347
189431,"001","092I072","0","0",745349
189432,"001","092I072","0","0",589311
189433,"001","092I072","0","0",672351
189436,"001","092I072","0","0",970359
189442,"001","092I072","0","0",744318
189466,"001","092I072","0","0",616313
189485,"001","092I072","0","0",883333
189491,"001","092I072","0","0",946343
189501,"001","092I072","0","0",581318
189505,"001","092I072","0","0",673343
189520,"001","092I072","0","0",32369
189521,"001","092I072","0","0",702354
189522,"001","092I072","0","0",801350
189536,"001","092I072","0","0",952361
189554,"001","092I072","0","0",19351
189567,"001","092I072","0","0",688321
189572,"001","092I072","0","0",817343
189579,"001","092I072","0","0",25291
189594,"001","092I072","0","0",40336
189599,"001","092I072","0","0",47330
189640,"001","092I072","0","0",986370
189662,"001","092I072","0","0",662332
189667,"001","092I072","0","0",587316
189674,"001","092I072","0","0",679333
189675,"001","092I072","0","0",615335
189684,"001","092I072","0","0",830351
189689,"001","092I072","0","0",843353
189701,"001","092I072","0","0",885361
189705,"001","092I072","0","0",676347
189715,"001","092I072","0","0",913356
189718,"001","092I072","0","0",815357
189719,"001","092I072","0","0",793322
189721,"001","092I072","0","0",941362
189736,"001","092I072","0","0",732345
189737,"001","092I072","0","0",633271
189749,"001","092I072","0","0",726324
189751,"001","092I072","0","0",33344
189840,"001","092I072","0","0",618339
189915,"001","092I072","0","0",613341
189989,"001","092I072","0","0",664351
190001,"001","092I072","0","0",589335
190034,"001","092I072","0","0",514322
190092,"001","092I072","0","0",596325
190109,"001","092I072","0","0",560330
190113,"001","092I072","0","0",628345
190120,"001","092I072","0","0",628349
190149,"001","092I072","0","0",544327
190225,"001","092I073","0","0",88359
190254,"001","092I073","0","0",59342
190313,"001","092I073","0","0",122315
190404,"001","092I073","0","0",232381
190419,"001","092I073","0","0",215364
190433,"001","092I073","0","0",212378
190464,"001","092I073","0","0",52374
190471,"001","092I073","0","0",111372
190472,"001","092I073","0","0",245351
190485,"001","092I073","0","0",150336
190496,"001","092I073","0","0",207338
190520,"001","092I073","0","0",56374
190531,"001","092I073","0","0",214300
190661,"001","092I073","0","0",89319
190677,"001","092I073","0","0",173298
190689,"001","092I073","0","0",138366
190768,"001","092I073","0","0",226313
190769,"001","092I073","0","0",224362
190778,"001","092I073","0","0",166323
190854,"001","092I073","0","0",177374
190867,"001","092I073","0","0",227355
190929,"001","092I073","0","0",189376
190941,"001","092I073","0","0",226372
191012,"001","092I073","0","0",78368
191020,"001","092I073","0","0",182380
