POLYGON_RCRD_ID,INVENTORY_STANDARD,MEASUREMENT_YEAR,FIZ,BEC_ZONE,PCT_STOCKABLE,NON_PROD_DESC,YIELD_FACTOR 
196929,"V",1997,,"AT",,,
196930,"V",1997,,"AT",,,
196931,"V",1997,,"AT",,,
196932,"V",1997,,"AT",,,
196933,"V",1997,,"AT",,,
196934,"V",1997,,"AT",,,
196935,"V",1997,,"AT",,,
196936,"V",1997,,"AT",,,
196937,"V",1997,,"AT",,,
196938,"V",1997,,"AT",,,
196939,"V",1997,,"AT",,,
196940,"V",1997,,"AT",,,
196941,"V",1997,,"AT",,,
196942,"V",1997,,"AT",,,
196943,"V",1997,,"AT",,,
196944,"V",1997,,"AT",,,
196945,"V",1997,,"AT",,,
196946,"V",1997,,"AT",,,
196947,"V",1997,,"AT",,,
196948,"V",1997,,"AT",,,
196949,"V",1997,,"AT",,,
196950,"V",1997,,"AT",,,
196951,"V",1997,,"AT",,,
196952,"V",1997,,"AT",,,
196953,"V",1997,,"AT",,,
196954,"V",1997,,"AT",,,
196955,"V",1997,,"AT",,,
196956,"V",1997,,"AT",,,
196957,"V",1997,,"AT",,,
196958,"V",1997,,"AT",,,
196959,"V",1997,,"AT",,,
196960,"V",1997,,"AT",,,
196961,"V",1997,,"AT",,,
196962,"V",1997,,"AT",,,
196963,"V",1997,,"AT",,,
196964,"V",1997,,"AT",,,
196965,"V",1997,,"AT",,,
196966,"V",1997,,"AT",,,
196967,"V",1997,,"AT",,,
196968,"V",1997,,"AT",,,
196969,"V",1997,,"AT",,,
196970,"V",1997,,"AT",,,
196972,"V",1997,,"AT",,,
196973,"V",1997,,"AT",,,
196974,"V",1997,,"AT",,,
196975,"V",1997,,"AT",,,
196976,"V",1997,,"AT",,,
196977,"V",1997,,"AT",,,
196978,"V",1997,,"AT",,,
196979,"V",1997,,"AT",,,
196980,"V",1997,,"AT",,,
196981,"V",1997,,"AT",,,
196982,"V",1997,,"AT",,,
196983,"V",1997,,"AT",,,
196984,"V",1997,,"AT",,,
196985,"V",1997,,"AT",,,
196986,"V",1997,,"AT",,,
196987,"V",1997,,"AT",,,
196988,"V",1997,,"AT",,,
196989,"V",1997,,"AT",,,
196990,"V",1997,,"AT",,,
196991,"V",1997,,"AT",,,
196992,"V",1997,,"AT",,,
196993,"V",1997,,"AT",,,
196994,"V",1997,,"AT",,,
196995,"V",1997,,"AT",,,
196997,"V",1997,,"AT",,,
196998,"V",1997,,"AT",,,
196999,"V",1997,,"AT",,,
197000,"V",1997,,"AT",,,
197001,"V",1997,,"AT",,,
197002,"V",1997,,"AT",,,
197003,"V",1997,,"AT",,,
197004,"V",1997,,"AT",,,
197005,"V",1997,,"AT",,,
197006,"V",1997,,"AT",,,
197007,"V",1997,,"AT",,,
197008,"V",1997,,"AT",,,
197009,"V",1997,,"AT",,,
197010,"V",1997,,"AT",,,
197011,"V",1997,,"AT",,,
197012,"V",1997,,"AT",,,
197013,"V",1997,,"AT",,,
197014,"V",1997,,"AT",,,
197015,"V",1997,,"AT",,,
197016,"V",1997,,"AT",,,
197017,"V",1997,,"AT",,,
197018,"V",1997,,"AT",,,
197019,"V",1997,,"AT",,,
197020,"V",1997,,"AT",,,
197021,"V",1997,,"AT",,,
197022,"V",1997,,"AT",,,
197023,"V",1997,,"AT",,,
197024,"V",1997,,"AT",,,
197025,"V",1997,,"AT",,,
197026,"V",1997,,"AT",,,
197027,"V",1997,,"AT",,,
197029,"V",1997,,"AT",,,
197030,"V",1997,,"AT",,,
197031,"V",1997,,"AT",,,
197032,"V",1997,,"AT",,,
197033,"V",1997,,"AT",,,
197034,"V",1997,,"AT",,,
197035,"V",1997,,"AT",,,
197036,"V",1997,,"AT",,,
197037,"V",1997,,"AT",,,
197038,"V",1997,,"AT",,,
197039,"V",1997,,"AT",,,
197040,"V",1997,,"AT",,,
197042,"V",1997,,"AT",,,
197043,"V",1997,,"AT",,,
197044,"V",1997,,"AT",,,
197045,"V",1997,,"AT",,,
197046,"V",1997,,"AT",,,
197047,"V",1997,,"AT",,,
197049,"V",1997,,"AT",,,
197050,"V",1997,,"AT",,,
197051,"V",1997,,"AT",,,
197052,"V",1997,,"AT",,,
197053,"V",1997,,"AT",,,
197054,"V",1997,,"AT",,,
197055,"V",1997,,"AT",,,
197056,"V",1997,,"AT",,,
197057,"V",1997,,"AT",,,
197058,"V",1997,,"AT",,,
197060,"V",1997,,"AT",,,
197061,"V",1997,,"AT",,,
197062,"V",1997,,"AT",,,
197063,"V",1997,,"AT",,,
197064,"V",1997,,"AT",,,
197065,"V",1997,,"AT",,,
197066,"V",1997,,"AT",,,
197067,"V",1997,,"AT",,,
197068,"V",1997,,"AT",,,
197069,"V",1997,,"AT",,,
197070,"V",1997,,"AT",,,
197071,"V",1997,,"AT",,,
197072,"V",1997,,"AT",,,
197073,"V",1997,,"AT",,,
197074,"V",1997,,"AT",,,
197075,"V",1997,,"AT",,,
197077,"V",1997,,"AT",,,
197078,"V",1997,,"AT",,,
197079,"V",1997,,"AT",,,
197081,"V",1997,,"AT",,,
197082,"V",1997,,"AT",,,
197083,"V",1997,,"AT",,,
197084,"V",1997,,"AT",,,
197085,"V",1997,,"AT",,,
197086,"V",1997,,"AT",,,
197087,"V",1997,,"AT",,,
197088,"V",1997,,"AT",,,
197089,"V",1997,,"AT",,,
197090,"V",1997,,"AT",,,
197091,"V",1997,,"AT",,,
197092,"V",1997,,"AT",,,
197093,"V",1997,,"AT",,,
197094,"V",1997,,"AT",,,
197095,"V",1997,,"AT",,,
197096,"V",1997,,"AT",,,
197097,"V",1997,,"AT",,,
197098,"V",1997,,"AT",,,
197099,"V",1997,,"AT",,,
197100,"V",1997,,"AT",,,
197101,"V",1997,,"AT",,,
197102,"V",1997,,"AT",,,
197103,"V",1997,,"AT",,,
197104,"V",1997,,"AT",,,
197105,"V",1997,,"AT",,,
197106,"V",1997,,"AT",,,
197107,"V",1997,,"AT",,,
197108,"V",1997,,"AT",,,
197109,"V",1997,,"AT",,,
197110,"V",1997,,"AT",,,
