POLYGON_RCRD_ID,NON_VEG_ID,NON_VEG_COVER_TYPE,NON_VEG_COVER_PCT 
197167,1,"ES",5.000
197168,1,"ES",10.000
197169,1,"ES",40.000
197172,1,"ES",5.000
197174,1,"ES",20.000
197174,2,"BR",12.000
197176,1,"ES",20.000
197177,1,"ES",10.000
197179,1,"ES",10.000
197180,1,"ES",10.000
197181,1,"ES",5.000
197182,1,"ES",5.000
197188,1,"BR",10.000
197188,2,"TA",5.000
197191,1,"ES",20.000
197191,2,"BR",10.000
197197,1,"BR",40.000
197197,2,"TA",10.000
197198,1,"BR",5.000
197198,2,"ES",5.000
197200,1,"ES",5.000
197201,1,"ES",10.000
197203,1,"ES",2.000
197205,1,"ES",5.000
197208,1,"ES",20.000
197210,1,"ES",5.000
197214,1,"ES",10.000
197214,2,"BR",5.000
197215,1,"BR",20.000
197215,2,"ES",15.000
197215,3,"TA",10.000
197217,1,"ES",10.000
197218,1,"ES",5.000
197219,1,"ES",5.000
197219,2,"RZ",5.000
197221,1,"BR",30.000
197221,2,"TA",10.000
197222,1,"BR",15.000
197222,2,"TA",5.000
197222,3,"ES",5.000
197225,1,"ES",2.000
197227,1,"ES",10.000
197228,1,"ES",10.000
197231,1,"ES",5.000
197234,1,"ES",15.000
197235,1,"ES",10.000
197238,1,"ES",5.000
197242,1,"ES",5.000
197243,1,"ES",5.000
197244,1,"ES",5.000
197245,1,"ES",30.000
197245,2,"TA",20.000
197245,3,"BR",10.000
197249,1,"BR",40.000
197249,2,"TA",10.000
197250,1,"ES",10.000
197250,2,"BR",5.000
197251,1,"ES",5.000
197252,1,"ES",5.000
197253,1,"ES",10.000
197254,1,"ES",10.000
197255,1,"ES",50.000
197257,1,"ES",5.000
197259,1,"ES",10.000
197260,1,"ES",10.000
197261,1,"ES",5.000
197262,1,"ES",5.000
197264,1,"ES",5.000
197267,1,"ES",10.000
197271,1,"LA",2.000
197274,1,"ES",5.000
197275,1,"ES",5.000
197276,1,"BR",45.000
197276,2,"ES",10.000
197281,1,"ES",10.000
197285,1,"ES",20.000
197290,1,"TA",5.000
197291,1,"ES",2.000
197292,1,"ES",5.000
197295,1,"BR",20.000
197295,2,"ES",10.000
197296,1,"ES",10.000
197296,2,"BR",5.000
197297,1,"ES",5.000
197298,1,"ES",5.000
197299,1,"ES",10.000
197300,1,"ES",5.000
197302,1,"ES",5.000
197305,1,"ES",10.000
197305,2,"BR",5.000
197306,1,"ES",15.000
197306,2,"BR",10.000
197310,1,"ES",5.000
197311,1,"ES",5.000
197312,1,"ES",10.000
197315,1,"ES",5.000
197317,1,"ES",3.000
197318,1,"ES",2.000
197324,1,"BR",20.000
197324,2,"ES",10.000
197325,1,"ES",10.000
197327,1,"ES",2.000
197331,1,"RZ",10.000
197331,2,"ES",10.000
197331,3,"UR",3.000
197332,1,"BR",40.000
197332,2,"TA",5.000
197333,1,"ES",20.000
197335,1,"ES",5.000
197336,1,"ES",5.000
197340,1,"ES",10.000
197341,1,"ES",5.000
197342,1,"ES",5.000
197343,1,"ES",10.000
197344,1,"ES",5.000
197345,1,"ES",5.000
197347,1,"BR",20.000
197347,2,"ES",15.000
197347,3,"TA",10.000
197348,1,"ES",10.000
197349,1,"ES",10.000
197352,1,"BR",15.000
197352,2,"ES",5.000
197354,1,"ES",15.000
197355,1,"ES",20.000
197356,1,"ES",15.000
197357,1,"ES",20.000
197358,1,"ES",5.000
197359,1,"ES",5.000
197360,1,"ES",10.000
197361,1,"ES",5.000
197362,1,"ES",5.000
197363,1,"ES",10.000
197365,1,"ES",5.000
197366,1,"BR",53.000
197367,1,"ES",10.000
197368,1,"BR",35.000
197368,2,"TA",10.000
197369,1,"UR",25.000
197369,2,"RZ",10.000
197370,1,"ES",5.000
197371,1,"ES",5.000
197379,1,"ES",10.000
197380,1,"BR",2.000
197382,1,"ES",2.000
197383,1,"BR",50.000
197384,1,"ES",5.000
197387,1,"BR",5.000
197388,1,"BR",20.000
197388,2,"ES",5.000
197390,1,"ES",5.000
197391,1,"BR",40.000
197391,2,"TA",5.000
197392,1,"ES",15.000
197394,1,"ES",3.000
197395,1,"BR",3.000
197396,1,"ES",5.000
197397,1,"ES",5.000
197398,1,"ES",15.000
197399,1,"ES",10.000
197399,2,"RZ",5.000
197400,1,"BR",5.000
197400,2,"ES",5.000
197401,1,"ES",15.000
197402,1,"ES",5.000
197403,1,"ES",10.000
197406,1,"BE",20.000
197406,2,"ES",10.000
197407,1,"ES",10.000
197408,1,"ES",5.000
197411,1,"ES",10.000
197412,1,"ES",10.000
197412,2,"RZ",2.000
197414,1,"BR",30.000
197414,2,"TA",15.000
197414,3,"ES",10.000
197415,1,"ES",5.000
197418,1,"ES",15.000
197420,1,"ES",2.000
197421,1,"ES",10.000
197421,2,"RZ",2.000
197422,1,"ES",5.000
197423,1,"ES",20.000
197424,1,"ES",2.000
197425,1,"ES",15.000
197426,1,"ES",5.000
197427,1,"BR",35.000
197427,2,"TA",10.000
197427,3,"ES",10.000
197428,1,"BR",50.000
197429,1,"ES",15.000
197432,1,"ES",5.000
197435,1,"ES",10.000
197437,1,"ES",5.000
197440,1,"BR",15.000
197440,2,"ES",15.000
197441,1,"LS",15.000
197442,1,"BR",15.000
197442,2,"ES",10.000
197443,1,"ES",20.000
197444,1,"ES",5.000
197447,1,"ES",5.000
197448,1,"ES",10.000
197449,1,"ES",10.000
197451,1,"ES",5.000
197453,1,"ES",5.000
197455,1,"ES",20.000
197455,2,"BR",5.000
