FCODE,MAP_TILE,MAP_TILE_DISPLAY_NAME,OBJECTID,FEATURE_AREA_SQM,FEATURE_LENGTH_M,GEOMETRY_AREA,GEOMETRY_LEN,fme_feature_type,OBJECTID_1
RG90020000,093H066,93H.066,2130,147191320.651699990034103,48698.611100000001898,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1684
RG90020000,093H077,93H.077,2131,146845301.667800009250641,48636.438999999998487,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1685
RG90020000,093H088,93H.088,2132,146498815.236400008201599,48574.198600000003353,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1686
RG90020000,093H099,93H.099,2133,146151868.939200013875961,48511.891999999999825,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1687
RG90020000,093I010,93I.010,2134,145804452.350899994373322,48449.516999999999825,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1688
RG90020000,093H036,93H.036,2010,148226575.742799997329712,48884.728000000002794,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1791
RG90020000,093H080,93H.080,2014,146845304.784599989652634,48636.440799999996671,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1795
RG90020000,093H021,93H.021,2165,148570714.062999993562698,48946.634900000004563,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1802
RG90020000,093H032,93H.032,2166,148226574.206699997186661,48884.729099999996834,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1803
RG90020000,093H043,93H.043,2167,147881958.607400000095367,48822.756399999998393,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1804
RG90020000,093G019,93G.019,2203,148914390.045899987220764,49008.475700000002689,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1879
RG90020000,093G030,93G.030,2204,148570715.387800008058548,48946.635600000001432,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1880
RG90020000,093G018,93G.018,2242,148914387.236799985170364,49008.475700000002689,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1916
RG90020000,093H035,93H.035,2049,148226568.672399997711182,48884.727599999998347,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1943
RG90020000,093H046,93H.046,2050,147881955.019300013780594,48822.757299999997485,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1944
RG90020000,093H054,93H.054,2168,147536871.208000004291534,48760.717100000001665,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1946
RG90020000,093H065,93H.065,2169,147191326.092700004577637,48698.610800000002200,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1947
RG90020000,093H076,93H.076,2170,146845301.665899991989136,48636.439800000000105,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1948
RG90020000,093H087,93H.087,2171,146498814.454800009727478,48574.198799999998300,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1949
RG90020000,093H098,93H.098,2172,146151861.853700011968613,48511.891499999997905,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1950
RG90020000,093I009,93I.009,2173,145804445.574299991130829,48449.516799999997602,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1951
RG90020000,093I020,93I.020,2174,145456573.044699996709824,48387.074000000000524,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1952
RG90020000,093H079,93H.079,2053,146845302.522300004959106,48636.438500000003842,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1976
RG90020000,093H090,93H.090,2054,146498817.183600008487701,48574.198700000000827,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1977
RG90020000,093H031,93H.031,2205,148226572.265300005674362,48884.727100000003702,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1985
RG90020000,093H042,93H.042,2206,147881959.369700014591217,48822.755799999998999,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1986
RG90020000,093H053,93H.053,2207,147536875.347099989652634,48760.718099999998230,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1987
RG90020000,093H064,93H.064,2208,147191321.583700001239777,48698.610300000000279,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1988
RG90020000,093H075,93H.075,2209,146845303.551400005817413,48636.438900000001013,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1989
RG90020000,093H086,93H.086,2210,146498819.317299991846085,48574.198499999998603,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1990
RG90020000,093H097,93H.097,2211,146151866.913199990987778,48511.892999999996391,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1991
RG90020000,093I008,93I.008,2212,145804445.835099995136261,48449.516199999998207,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1992
RG90020000,093I019,93I.019,2213,145456568.533499985933304,48387.074500000002445,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,1993
RG90020000,093G029,93G.029,2243,148570716.940100014209747,48946.634200000000419,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,2022
RG90020000,093G040,93G.040,2244,148226574.811599999666214,48884.729599999998754,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,2023
RG90020000,093H041,93H.041,2245,147881958.076400011777878,48822.756200000003446,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,2024
RG90020000,093H052,93H.052,2246,147536873.506999999284744,48760.715400000000955,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,2025
RG90020000,093H063,93H.063,2247,147191321.521600008010864,48698.611700000001292,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,2026
RG90020000,093H074,93H.074,2248,146845303.129900008440018,48636.438399999999092,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,2027
RG90020000,093H085,93H.085,2249,146498816.196900010108948,48574.199899999999616,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,2028
RG90020000,093H096,93H.096,2250,146151863.178799986839294,48511.893700000000536,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,2029
RG90020000,093I007,93I.007,2251,145804447.677799999713898,48449.515299999999115,0.000000000000000,0.000000000000000,WHSE_BASEMAPPING.BCGS_20K_GRID,2030
