BLOCK1,BLOCK2,DISTANCE,LENGTH
-9999,19250099,0.000,416.373
-9999,19250142,0.000,502.226
-9999,19250427,0.000,743.415
-9999,19250476,0.000,301.041
-9999,19250495,0.000,2024.741
-9999,19250522,0.000,534.257
-9999,19250537,0.000,571.800
-9999,19250600,0.000,2056.575
-9999,19250637,0.000,1995.054
-9999,19250645,0.000,571.743
-9999,19250774,0.000,901.841
-9999,19250811,0.000,986.406
-9999,19250819,0.000,904.456
-9999,19250826,0.000,458.868
-9999,19250872,0.000,2034.620
-9999,19251184,0.000,683.914
-9999,19251204,0.000,1083.236
-9999,19251226,0.000,340.259
-9999,19251291,0.000,2311.162
-9999,19251297,0.000,615.634
-9999,19251365,0.000,101.139
-9999,19251376,0.000,993.609
-9999,19251563,0.000,130.945
-9999,19251632,0.000,876.736
-9999,19251693,0.000,1233.511
-9999,19251702,0.000,700.081
-9999,19251818,0.000,613.506
-9999,19343669,0.000,725.477
-9999,19343680,0.000,527.671
-9999,19343760,73.685,0.000
-9999,19343761,0.000,653.779
-9999,19343771,0.000,588.317
-9999,19343775,0.000,1795.417
-9999,19343784,0.000,1344.755
-9999,19343795,0.000,387.548
-9999,19343802,0.000,357.594
-9999,19343814,0.000,940.113
-9999,19343831,0.000,505.116
-9999,19343851,46.299,0.000
-9999,19343863,158.839,0.000
-9999,19343875,0.000,602.221
-9999,19343891,0.000,184.128
-9999,19343897,0.000,753.851
-9999,19343929,0.000,501.602
-9999,19343936,31.476,0.000
-9999,19343938,0.000,567.893
-9999,19343948,0.000,328.077
-9999,19343974,0.000,4588.158
-9999,19343990,0.000,545.432
-9999,19343995,0.000,130.805
-9999,19344050,0.000,2646.160
-9999,19344053,0.000,1117.754
-9999,19344057,0.000,797.140
-9999,19344064,83.920,0.000
-9999,19344104,44.391,0.000
-9999,19344119,0.000,1091.888
-9999,19344129,0.000,233.629
-9999,19344137,0.000,368.305
-9999,19344147,0.000,3565.344
-9999,19344192,0.000,756.050
-9999,19344203,0.000,208.146
-9999,19344204,0.000,415.348
-9999,19344215,0.000,444.292
-9999,19344220,0.000,363.542
-9999,19344222,0.000,289.287
-9999,19344225,0.000,1379.445
-9999,19344254,0.000,523.795
-9999,19344255,0.000,530.329
-9999,19344263,0.000,7081.011
-9999,19344281,0.000,447.523
-9999,19344295,0.000,244.665
-9999,19344309,133.558,0.000
-9999,19344329,0.000,187.186
-9999,19344389,30.215,0.000
-9999,19344390,0.000,261.911
-9999,19344438,0.000,354.542
-9999,19344498,0.000,474.617
