CURVE,X,Y
73,0,0.2
23,0,0.15
17,0,0.1
58,0,0.25
28,0,0.2
22,0,0.25
21,0,0.6
12,0,1
15,0,1
15,5,1
15,6,0
8,0,0.7
7,0,0.2
6,0,0
77,0,0
77,10,0
77,20,0.2
77,30,11.3
77,40,29.3
77,50,49
77,60,67.8
77,70,85.5
77,80,100.8
77,90,115
77,100,128.4
77,110,140.4
77,120,151.5
77,130,161.7
77,140,171.2
76,0,0
76,10,0
76,20,0.1
76,30,23
76,40,93.5
76,50,176.6
76,60,261.7
76,70,340.5
76,80,417.8
76,90,485.4
76,100,544
76,110,598.8
76,120,650.3
76,130,696.8
76,140,738.4
76,150,776
76,160,811.2
76,170,842.8
76,180,871.7
76,190,898.7
76,200,922.3
76,210,943.8
76,220,963.2
75,0,0
75,10,0
75,20,0.1
75,30,16.1
75,40,65.5
75,50,123.6
75,60,183.2
75,70,238.3
75,80,292.5
75,90,339.8
75,100,380.8
75,110,419.2
75,120,455.2
75,130,487.8
75,140,516.9
75,150,543.2
75,160,567.8
75,170,590
75,180,610.2
75,190,629.1
75,200,645.6
75,210,660.7
75,220,674.2
63,0,0
63,10,0
63,20,0.3
63,30,13.5
63,40,35.1
63,50,58.7
63,60,81.2
63,70,102.4
63,80,120.8
63,90,137.7
63,100,153.8
63,110,168.1
63,120,181.4
63,130,193.6
63,140,205
59,0,0
59,10,0
59,20,0.3
59,30,5.9
59,40,15.3
59,50,25.7
59,60,36.7
59,70,47.4
59,90,66.6
59,100,75.4
59,110,83.4
59,120,90.9
59,130,97.8
59,140,104.1
59,150,109.8
59,160,115
60,0,0
60,10,0
60,20,0.5
60,30,9.8
60,40,25.5
60,50,42.8
60,60,61.1
60,70,79.1
60,80,95
60,90,111
60,100,125.7
60,110,139.1
60,120,151.4
60,130,163.1
60,140,173.5
60,150,183
60,160,191.6
78,0,0
78,10,0
78,20,0.8
78,30,39.5
78,40,102.7
78,50,171.5
78,60,237.4
78,70,299.2
78,80,352.9
78,90,402.4
78,100,449.5
78,110,491.3
78,120,530.2
78,130,565.9
78,140,599.1
79,0,0
79,10,0
79,20,1.1
79,30,56.5
79,40,146.7
79,50,245
79,60,339.2
79,70,427.4
79,80,504.2
79,90,574.9
79,100,642.2
79,110,701.8
79,120,757.4
79,130,808.5
79,140,855.9
65,0,0
65,10,0
65,20,1.3
65,30,67.6
65,40,175.7
65,50,293.3
65,60,406.2
65,70,511.8
65,80,603.8
65,90,688.3
65,100,768.9
65,110,840.4
65,120,906.9
65,130,968.1
65,140,1024.9
61,0,0
61,10,0
61,20,1.8
61,30,39.1
61,40,101.9
61,50,171.2
61,60,244.6
61,70,316.3
61,80,379.9
61,90,444.2
61,100,502.6
61,110,556.2
61,120,605.8
61,130,652.3
61,140,694.1
61,150,732
61,160,766.4
41,0,0
41,10,0
41,20,3.1
41,30,53.5
41,40,127.7
41,50,203.8
41,60,280.3
41,70,346.8
41,80,406.8
41,90,464.4
41,100,516.5
41,110,564.5
41,120,609.5
41,130,650
64,0,0
64,10,0
64,20,0.9
64,30,47.3
64,40,123
64,50,205.3
64,60,284.3
64,70,358.3
64,80,422.7
64,90,481.8
64,100,538.2
64,110,588.3
64,120,634.8
64,130,677.7
64,140,717.4
40,0,0
40,10,0
40,20,0.9
40,30,15.3
40,40,36.5
40,50,58.2
40,60,80.1
40,70,99.1
40,80,116.2
40,90,132.7
40,100,147.6
40,110,161.3
40,120,174.1
40,130,185.7
68,0,0
68,10,0
68,20,4.2
68,30,31.2
68,40,64.7
68,50,98.4
68,60,128.9
68,70,156.7
68,80,183.6
68,90,208.2
68,100,232
52,0,0
52,10,0
52,20,6
52,30,24.5
52,40,48.1
52,50,72.6
52,60,97.2
52,70,120.8
52,80,142.9
52,90,163
49,0,0
49,10,0
49,20,7.2
49,30,38.4
49,40,74.2
49,50,110.7
49,60,142.6
49,70,173.9
49,80,202.7
49,90,230.7
70,0,0
70,10,0
70,20,21.1
70,30,156.2
70,40,323.6
70,50,491.9
70,60,644.3
70,70,783.7
70,80,917.8
70,90,1041.1
70,100,1159.9
69,0,0
69,10,0
69,20,14.8
69,30,109.3
69,40,226.5
69,50,344.3
69,60,451
69,70,548.6
69,80,642.5
69,90,728.8
69,100,811.9
53,0,0
53,10,0
53,20,9.9
53,30,40.9
53,40,80.1
53,50,121
53,60,162
53,70,201.3
53,80,238.1
53,90,271.6
50,0,0
50,10,0
50,20,25.2
50,30,134.4
50,40,259.6
50,50,387.4
50,60,499
50,70,608.6
50,80,709.4
50,90,807.4
54,0,0
54,10,0
54,20,39.7
54,30,163.6
54,40,320.4
54,50,483.8
54,60,647.9
54,70,805.2
54,80,952.4
54,90,1086.5
51,0,0
51,10,0
51,20,36
51,30,192
51,40,370.9
51,50,553.5
51,60,712.8
51,70,869.5
51,80,1013.5
51,90,1153.4
48,0,0
48,10,0
48,20,31.1
48,30,143
48,40,281.4
48,50,429.2
48,60,577.7
48,70,719.5
48,80,856.5
48,90,983.5
47,0,0
47,10,0
47,20,7.8
47,30,35.8
47,40,70.3
47,50,107.3
47,60,144.4
47,70,179.9
47,80,214.1
47,90,245.9
46,0,0
46,10,0
46,20,4.7
46,30,21.4
46,40,42.2
46,50,64.4
